dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
252,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.03.030,"Paul, J.D. (2017) Correlations between rock and water characteristics of the Inferior Oolite aquifer, central Cotswolds, UK. Journal of Hydrology. 548, 448-457.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,, Summary statistics results of lab tests are provided in tables in text ,,,,,,,5,,,
211,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.03.038,"Regnery, J.; Lee, J.; Drumheller, Z.W.; Drewes, J.E.; Illangasekare, T.H.; Kitanidis, P.K.; McCray, J.E.; Smits, K.M. (2017) Trace organic chemical attenuation during managed aquifer recharge: Insights from a variably saturated 2D tank experiment. Journal of Hydrology. 548, 641-651.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,Model parameters are provided in tables in text. Software needs a licence. Referenced somewhere and I cannot find the link to download it,,,,,,,5,,,
388,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.03.039,"Inam, A.; Adamowski, J.; Prasher, S.; Halbe, J.; Malard, J.; Albano, R. (2017) Coupling of a distributed stakeholder-built system dynamics socio-economic model with SAHYSMOD for sustainable soil salinity management â€“ Part 1: Model development. Journal of Hydrology. 551, 596-618.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text,Third Party Request",Input data,"Ironically it is mentioned, ""The modeling framework of the proposed modeling approach used commonly available software tools (i.e. Vensim, MS Excel and Python) that increase its transparency and also make it easy to adopt, even in developing countries"" but none of them are available to download",,,,,,,10,,,
787,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.03.040,"Inam, A.; Adamowski, J.; Prasher, S.; Halbe, J.; Malard, J.; Albano, R. (2017) Coupling of a distributed stakeholder-built system dynamics socio-economic model with SAHYSMOD for sustainable soil salinity management. Part 2: Model coupling and application. Journal of Hydrology. 551, 278-299.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Input data,Input data parameters are provided in text. Software used is referenced but really hard to track down. They mention Python VBA code but never say how to get it  ,,,,,,,15,,,
160,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.03.041,"Meaurio, M.; Zabaleta, A.; Boithias, L.; Epelde, A.M.; Sauvage, S.; SÃ¡nchez-PÃ©rez, J.-M.; Srinivasan, R.; Antiguedad, I.; WÃ¶rman, A.; LindstrÃ¶m, G.; Riml, J. (2017) The power of runoff. Journal of Hydrology. 548, 784-793.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"Supplemental material provides links to some data. HBV model is used, but no model provided",,,,,,,5,,,
104,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.03.046,"Zhang, X.C.J.; Wang, Z.L. (2017) Interrill soil erosion processes on steep slopes. Journal of Hydrology. 548, 652-664.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
222,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.03.049,"Guo, X.; Tian, L.; Wang, L.; Yu, W.; Qu, D.; Burnett, W.C.; Wattayakorn, G.; Supcharoen, R.; Sioudom, K.; Kum, V.; Chanyotha, S.; Kritsananuwat, R. (2017) Groundwater discharge and phosphorus dynamics in a flood-pulse system: Tonle Sap Lake, Cambodia. Journal of Hydrology. 549, 79-91.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Supplementary input data are provided in tables as PDF. This is BS practice that still exist in 2017 that we need to call out ,,,,,,,7,,,
211,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.03.052,"Husic, A.; Fox, J.; Agouridis, C.; Currens, J.; Ford, W.; Taylor, C. (2017) Sediment carbon fate in phreatic karst (Part 1): Conceptual model development. Journal of Hydrology. 549, 179-193.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,No supporting data files / model available to the public.,,,,,,,4,,,
267,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.03.059,"Husic, A.; Fox, J.; Ford, W.; Agouridis, C.; Currens, J.; Taylor, C. (2017) Sediment carbon fate in phreatic karst (Part 2): Numerical model development and application. Journal of Hydrology. 549, 208-219.",Not specified where they got the data/where data is,,,"Mentions using a model, but does not ever really specifcy if model / data is make public.",,,,,,,7,,,
4544,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.03.064,"Schulte, J.A.; Najjar, R.G.; Lee, S. (2017) Salinity and streamflow variability in the Mid-Atlantic region of the United States and its relationship with large-scale atmospheric circulation patterns. Journal of Hydrology. 550, 65-79.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,,,,,,,,0,,,
201,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.03.067,"Huang, J.; McBratney, A.B.; Minasny, B.; Triantafilis, J. (2017) 3D soil water nowcasting using electromagnetic conductivity imaging and the ensemble Kalman filter. Journal of Hydrology. 549, 62-78.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Data in tables / provdies map of key areas.  No provided model.,,,,,,,5,,,
415,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.04.004,"Zhang, J.; Zhang, Y.; Song, J.; Cheng, L. (2017) Evaluating relative merits of four baseflow separation methods in Eastern Australia. Journal of Hydrology. 549, 252-263.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Input data,Data sources are mentioned with no link/instructions provided to access the data.,,,,,,,10,,,
252,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.04.005,"Li, C.; Fletcher, T.D.; Duncan, H.P.; Burns, M.J.; Abdoulhalik, A.; Ahmed, A.; Hamill, G.A. (2017) A new physical barrier system for seawater intrusion control. Journal of Hydrology. 549, 416-427.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Report of using a mixed physical barrier for seater intrusion control.  Data in article.,,,,,,,2,,,
682,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.04.009,"Bakker, M.; Miller, A.D.; Morgan, L.K.; Werner, A.D. (2017) Evaluation of analytic solutions for steady interface flow where the aquifer extends below the sea. Journal of Hydrology. 551, 660-664.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Hardware/Software requirements,Materials linked by unique and persistent identifiers",Python and Jupyter Notebooks. Specific paper objective is to meet reproducibility goals. No directions to run but may be clear from python code. No clear input data (but may be embeded in Python code).,,,,,,,11,,,Some one else should look at this paper to verify
4247,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.04.015,"Peters, A.; Groh, J.; Schrader, F.; Durner, W.; Vereecken, H.; PÃ¼tz, T. (2017) Towards an unbiased filter routine to determine precipitation and evapotranspiration from high precision lysimeter measurements. Journal of Hydrology. 549, 731-740.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
457,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.04.034,"Habib, A.; Sorensen, J.P.R.; Bloomfield, J.P.; Muchan, K.; Newell, A.J.; Butler, A.P. (2017) Temporal scaling phenomena in groundwater-floodplain systems using robust detrended fluctuation analysis. Journal of Hydrology. 549, 715-730.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open","Matlab function with sample data. Unclear whether this is the same data in the paper. But, seems promising",Yes,,,avail,No- Terminate,,10,,,
17866,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.04.034,"Habib, A.; Sorensen, J.P.R.; Bloomfield, J.P.; Muchan, K.; Newell, A.J.; Butler, A.P. (2017) Temporal scaling phenomena in groundwater-floodplain systems using robust detrended fluctuation analysis. Journal of Hydrology. 549, 715-730.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Hardware/Software requirements,Metadata to describe the code,Common file format /instructions to open",They only provided sample data to run the code. The code ran as expected for the sample data ,,,,repro,,,60,,,No input data available to run the code. Input data only described in summary tables 
211,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.04.035,"Shiri, J.; Keshavarzi, A.; Kisi, O.; Karimi, S.; Iturraran-Viveros, U. (2017) Modeling soil bulk density through a complete data scanning procedure: Heuristic alternatives. Journal of Hydrology. 549, 592-602.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Could not find data to work with or model.,,,,,,,4,,,
232,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.04.040,"Kim, J.-H.; Kim, K.-H.; Thao, N.T.; Batsaikhan, B.; Yun, S.-T. (2017) Hydrochemical assessment of freshening saline groundwater using multiple end-members mixing modeling: A study of Red River delta aquifer, Vietnam. Journal of Hydrology. 549, 703-714.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
143,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.04.046,"Zheng, H.; Yu, G.; Wang, Q.; Zhu, X.; Yan, J.; Wang, H.; Shi, P.; Zhao, F.; Li, Y.; Zhao, L.; Zhang, J.; Wang, Y.; Post, V.E.A.; Werner, A.D. (2017) Coastal aquifers: Scientific advances in the face of global environmental challenges. Journal of Hydrology. 551, 1-3.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
1371,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.04.051,"Himanshu, S.K.; Pandey, A.; Yadav, B. (2017) Assessing the applicability of TMPA-3B42V7 precipitation dataset in wavelet-support vector machine approach for suspended sediment load prediction. Journal of Hydrology. 550, 103-117.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Hardware/Software requirements","Some of the links to input data are bad. Others point to sites to generic to find the actual data. The link to the proceeding paper with LIBSVM toolbox on which the work builds (Chang and Lin, 2011) is good, but the link in the proceedings paper to the actual library is bad. The proceedings paper has some documentation.",,,,,,,14,,,
880,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.05.002,"Coletti, J.Z.; Vogwill, R.; Hipsey, M.R. (2017) Water management can reinforce plant competition in salt-affected semi-arid wetlands. Journal of Hydrology. 552, 121-140.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"References to a few data sources. No model, no code, no digital versions of numerous results.",,,,,,,11,,,
103,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.05.005,"Perumal, M.; Tayfur, G.; Madhusudana Rao, C.; Gurarslan, G. (2017) Reply to comment on â€œEvaluation of a physically based quasi-linear and a conceptually based nonlinear Muskingum methodsâ€ by Reza Barati. Journal of Hydrology. 550, 740-742.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
355,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.05.007,"Belfort, B.; Weill, S.; Lehmann, F. (2017) Image analysis method for the measurement of water saturation in a two-dimensional experimental flow tank. Journal of Hydrology. 550, 343-354.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
219,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.05.013,"Durand, V.; LÃ©onardi, V.; de Marsily, G.; Lachassagne, P. (2017) Quantification of the specific yield in a two-layer hard-rock aquifer model. Journal of Hydrology. 551, 328-339.",Not specified where they got the data/where data is,,,Broken DOI. The paper no longer exists on that Journal,,,,,,,5,,,
3100,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.05.015,"Li, H.; Zhang, Y. (2017) Regionalising rainfall-runoff modelling for predicting daily runoff: Comparing gridded spatial proximity and gridded integrated similarity approaches against their lumped counterparts. Journal of Hydrology. 550, 279-293.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"Data source is mentioned , the website provided has moved to another address. The new address is accessible but requires user registration",,,,,,,10,,,
154,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.05.021,"Umar, D.A.; Ramli, M.F.; Aris, A.Z.; Sulaiman, W.N.A.; Kura, N.U.; Tukur, A.I. (2017) An overview assessment of the effectiveness and global popularity of some methods used in measuring riverbank filtration. Journal of Hydrology. 550, 497-515.",Not applicable - dataless paper/review paper,,,,,,,,,,5,,,
4381,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.05.035,"Su, Y.; Langhammer, J.; JarsjÃ¶, J. (2017) Geochemical responses of forested catchments to bark beetle infestation: Evidence from high frequency in-stream electrical conductivity monitoring. Journal of Hydrology. 550, 635-649.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
4621,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.05.037,"CÃ¡novas, C.R.; MacÃ­as, F.; OlÃ­as, M.; LÃ³pez, R.P.; Nieto, J.M. (2017) Metal-fluxes characterization at a catchment scale: Study of mixing processes and end-member analysis in the Meca River watershed (SW Spain). Journal of Hydrology. 550, 590-602.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
135,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.05.046,"Rahmati, M. (2017) Reliable and accurate point-based prediction of cumulative infiltration using soil readily available characteristics: A comparison between GMDH, ANN, and MLR. Journal of Hydrology. 551, 81-91.",Not specified where they got the data/where data is,,,"Was coded in Matlab, no code, no data provided",,,,,,,5,,,
1740,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.05.049,"Li, X.; Fu, W.; Shen, H.; Huang, C.; Zhang, L. (2017) Monitoring snow cover variability (2000â€“2014) in the Hengduan Mountains based on cloud-removed MODIS products with an adaptive spatio-temporal weighted method. Journal of Hydrology. 551, 314-327.",Not specified where they got the data/where data is,,,The paper referred me to a Chinese website :)  ,,,,,,,4,,,
212,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.05.055,"Ahiablame, L.; Sheshukov, A.Y.; Rahmani, V.; Moriasi, D. (2017) Annual baseflow variations as influenced by climate variability and agricultural land use change in the Missouri River Basin. Journal of Hydrology. 551, 188-202.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"Flow links to USGS, climate to NOAA, vegetation to USDA. List of stations provided in appendix",,,,,,,5,,,
400,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.06.002,"Benyon, R.G.; Nolan, R.H.; Hawthorn, S.N.D.; Lane, P.N.J. (2017) Stand-level variation in evapotranspiration in non-water-limited eucalypt forests. Journal of Hydrology. 551, 233-244.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Could only see data in plots.  No supporting documentation.,,,,,,,5,,,
173,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.06.005,"Hao, Z.; Xia, Y.; Luo, L.; Singh, V.P.; Ouyang, W.; Hao, F. (2017) Toward a categorical drought prediction system based on U.S. Drought Monitor (USDM) and climate forecast. Journal of Hydrology. 551, 300-305.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"Links for USDM categories, NMME forecasts, Seasonal drought outlook provided",,,,,,,5,,,
354,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.06.022,"Jia, P.; Cheng, L.; Huang, S.; Xu, Z.; Xue, Y.; Cao, R.; Ding, G. (2017) A comprehensive model combining Laplace-transform finite-difference and boundary-element method for the flow behavior of a two-zone system with discrete fracture network. Journal of Hydrology. 551, 453-469.",Not specified where they got the data/where data is,,,,,,,,,,10,,,
213,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.07.002,"Knapp, T.; Huang, Q.; Wang, Z.; Ankeny, M.; Horton, R.; Seiller, G.; Anctil, F.; Roy, R. (2017) Design and experimentation of an empirical multistructure framework for accurate, sharp and reliable hydrological ensembles. Journal of Hydrology. 552, 313-340.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Materials linked by unique and persistent identifiers",Provide a link to the MOPEX data set,,,,,,,5,,,
226,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.07.004,"Bordoni, M.; Bittelli, M.; Valentino, R.; Chersich, S.; Meisina, C. (2017) Improving the estimation of complete field soil water characteristic curves through field monitoring data. Journal of Hydrology. 552, 283-305.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Could only see tables and figures in article.  No supporting documents.,,,,,,,4,,,
1512,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.07.013,"Attard, G.; Rossier, Y.; Eisenlohr, L. (2017) Underground structures increasing the intrinsic vulnerability of urban groundwater: Sensitivity analysis and development of an empirical law based on a groundwater age modelling approach. Journal of Hydrology. 552, 460-473.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data","Data, and Model are available as Excel Files",,,,,,,10,,,
2018,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.07.021,"Woodward, S.J.R.; WÃ¶hling, T.; Rode, M.; Stenger, R. (2017) Predicting nitrate discharge dynamics in mesoscale catchments using the lumped StreamGEM model and Bayesian parameter inference. Journal of Hydrology. 552, 684-703.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,,,,,,,,10,,,
254,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.07.033,"Balbarini, N.; Boon, W.M.; Nicolajsen, E.; Nordbotten, J.M.; Bjerg, P.L.; Binning, P.J.; Mishra, A.; Vu, T.; Veettil, A.V.; Entekhabi, D. (2017) Drought monitoring with soil moisture active passive (SMAP) measurements. Journal of Hydrology. 552, 620-632.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Third Party Request",,Study uses Soil Moisture Active Passive (SMAP) soil moisture geophysical retrieval products from passive L-band radiometer to evaluate its applicability to forming agricultural drought indices.,,,,,,,,,,
1024,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.07.037,"Rouhier, L.; Le Lay, M.; Garavaglia, F.; Le Moine, N.; Hendrickx, F.; Monteil, C.; Ribstein, P. (2017) Impact of mesoscale spatial variability of climatic inputs and parameters on the hydrological response. Journal of Hydrology. 553, 13-25.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,3,,,
642,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.07.046,"Hadgu, T.; Karra, S.; Kalinina, E.; Makedonska, N.; Hyman, J.D.; Klise, K.; Viswanathan, H.S.; Wang, Y. (2017) A comparative study of discrete fracture network and equivalent continuum models for simulating flow and transport in the far field of a hypothetical nuclear waste repository in crystalline host rock. Journal of Hydrology. 553, 59-70.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,The study uses software/suite (dfnWorks) that I am unfamiliar with. ,,,,,,,11,,,
198,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.07.048,"Felfelani, F.; Wada, Y.; Longuevergne, L.; Pokhrel, Y.N. (2017) Natural and human-induced terrestrial water storage change: A global analysis using hydrological models and GRACE. Journal of Hydrology. 553, 105-118.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Materials linked by unique and persistent identifiers","Land cover, climate forcing, and GRACE data all available through links",,,,,,,5,,,
593,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.07.051,"DeBeer, C.M.; Pomeroy, J.W. (2017) Influence of snowpack and melt energy heterogeneity on snow cover depletion and snowmelt runoff simulation in a cold mountain environment. Journal of Hydrology. 553, 199-213.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Input data,the software is referenced into another article. But he link in the other article is not working http://www.usask.ca/hydrology/crhm.html. Input data paramters are provided in text,,,,,,,15,,,
897,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.08.008,"Zhang, C.; Guo, P. (2017) A generalized fuzzy credibility-constrained linear fractional programming approach for optimal irrigation water allocation under uncertainty. Journal of Hydrology. 553, 735-749.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,5,,,
855,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.08.013,"Yao, Y.; Liang, S.; Li, X.; Zhang, Y.; Chen, J.; Jia, K.; Zhang, X.; Fisher, J.B.; Wang, X.; Zhang, L.; Xu, J.; Shao, C.; Posse, G.; Li, Y.; Magliulo, V.; Varlagin, A.; Moors, E.J.; Boike, J.; Macfarlane, C.; Kato, T.; Buchmann, N.; Billesbach, D.P.; Beringer, J.; Wolf, S.; Papuga, S.A.; Wohlfahrt, G.; Montagnani, L.; ArdÃ¶, J.; Paul-Limoges, E.; Emmel, C.; HÃ¶rtnagl, L.; Sachs, T.; Gruening, C.; Gioli, B.; LÃ³pez-Ballesteros, A.; Steinbrecher, R.; Gielen, B. (2017) Estimation of high-resolution terrestrial evapotranspiration from Landsat data using a simple Taylor skill fusion method. Journal of Hydrology. 553, 508-526.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,A few links to ET and remote sensing data sources.Other links bad. No code or model files or info.,,,,,,,13,,,
263,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.08.014,"Laattoe, T.; Werner, A.D.; Woods, J.A.; Cartwright, I. (2017) Terrestrial freshwater lenses: Unexplored subterranean oases. Journal of Hydrology. 553, 501-507.",Not applicable - dataless paper/review paper,,,,,,,,,,5,,,
206,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.08.015,"Gelleszun, M.; Kreye, P.; Meon, G. (2017) Representative parameter estimation for hydrological models using a lexicographic calibration strategy. Journal of Hydrology. 553, 722-734.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,4,,,
1111,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.08.039,"Zhou, Y.; Guo, S.; Hong, X.; Chang, F.-J. (2017) Systematic impact assessment on inter-basin water transfer projects of the Hanjiang River Basin in China. Journal of Hydrology. 553, 584-595.",Not specified where they got the data/where data is,,,,,,,,,,4,,,
223,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.08.040,"Xie, Y.; Wu, J.; Xue, Y.; Xie, C.; Ji, H. (2017) A domain decomposed finite element method for solving Darcian velocity in heterogeneous porous media. Journal of Hydrology. 554, 32-49.",Not specified where they got the data/where data is,,,Paper proposes a domain decomposed finite element method (DDFEM) for groundwater flow velocity simulation.,,,,,,,,,,No provided data to use.  Might be able to repeat the proscribed technique / functions in the paper.
453,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.08.046,"Zhang, D.; Chen, P.; Zhang, Q.; Li, X. (2017) Copula-based probability of concurrent hydrological drought in the Poyang lake-catchment-river system (China) from 1960 to 2013. Journal of Hydrology. 553, 773-784.",Not specified where they got the data/where data is,,,This study investigates concurrent hydrological drought in the Poyang lake-catchment-river system from 1960 to 2013 based on copula functions. The standard water level index (SWI) and the standard runoff index (SRI) are employed to identify hydrological drought in the lake-catchment-river system.,,,,,,,,,,No provided data to use.  Might be able to repeat the proscribed technique / functions in the paper.
897,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.08.052,"Ngo, T.D.; Fourno, A.; Noetinger, B. (2017) Modeling of transport processes through large-scale discrete fracture networks using conforming meshes and open-source software. Journal of Hydrology. 554, 66-79.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,Input data is referenced into other articles which was hard to track and find exactly where it is. No specific directions on how to use the software and input data to reproduce the reported results,,,,,,,15,,,
616,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.09.019,"Rossman, N.R.; Zlotnik, V.A.; Rowe, C.M. (2017) Using cumulative potential recharge for selection of GCM projections to force regional groundwater models: A Nebraska Sand Hills example. Journal of Hydrology. NA, .","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Input data,Input data provided in appendix in Excel,,,,,,,10,,,
1479,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.09.029,"Shang, Y.; Lu, S.; Gong, J.; Liu, R.; Li, X.; Fan, Q. (2017) Improved genetic algorithm for economic load dispatch in hydropower plants and comprehensive performance comparison with dynamic programming method. Journal of Hydrology. 554, 306-316.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,15,,,
308,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.09.035,"Nasri, B.; Bouezmarni, T.; St-Hilaire, A.; Ouarda, T.B.M.J. (2017) Non-stationary hydrologic frequency analysis using B-spline quantile regression. Journal of Hydrology. 554, 532-544.",Not specified where they got the data/where data is,,,B-Spline regression technique for frequency analysis which allows to model data in the presence of non-stationarity and/or dependence on covariates with linear and non-linear dependence.,,,,,,,,,,Might be able to repeat the proscribed technique / functions in the paper.
1320,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.09.040,"Zhang, Q.; Liu, J.; Singh, V.P.; Shi, P.; Sun, P. (2017) Hydrological responses to climatic changes in the Yellow River basin, China: Climatic elasticity and streamflow prediction. Journal of Hydrology. 554, 635-645.",Not specified where they got the data/where data is,,,"For this study, I would expect precipation and temperature data, GCM downscaled outputs, stream flow data for 37 Yellow River tributaries, and code that implents the Budyko model and numerous equations in the paper. None are avaiable. The paper references sources for the data but these references do not have the data.",,,,,,,22,,,
1296,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.09.041,"Sun, R.; Yuan, H.; Liu, X. (2017) Effect of heteroscedasticity treatment in residual error models on model calibration and prediction uncertainty estimation. Journal of Hydrology. 554, 680-692.",Not specified where they got the data/where data is,,,"I would expect to see data and results for calibrations and validations Monte-Carlo Markov Chain runs, and simulation results. No mention of where the data, model, and code used to generate any of the figures or tables is.",,,,,,,21,,,
